All bits have been measured 10000 times with the outcome:
   ( 285 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=167>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=168>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=168>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=168>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=168>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=168>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=168>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=169>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=169>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=169>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=169>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=169>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=169>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 50 )	* |t=170>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 50 )	* |t=170>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 57 )	* |t=170>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 38 )	* |t=170>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 61 )	* |t=170>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 43 )	* |t=170>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 172 )	* |t=171>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 201 )	* |t=171>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 190 )	* |t=171>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 153 )	* |t=171>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 202 )	* |t=171>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 195 )	* |t=171>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=172>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=172>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 11 )	* |t=172>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 14 )	* |t=172>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=172>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=172>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=173>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=173>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=173>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=173>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=174>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=174>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=174>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=174>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=174>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=174>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=175>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=175>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=175>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=176>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=176>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=177>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=177>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=178>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=178>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=178>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=179>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=180>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=183>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=184>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=188>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=192>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=194>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=198>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=213>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=233>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=242>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=250>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=251>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 293 )	* |t=256>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 286 )	* |t=256>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 275 )	* |t=256>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 253 )	* |t=256>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 315 )	* |t=256>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 254 )	* |t=256>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=271>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=291>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=296>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=297>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=308>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=310>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=310>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=314>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=315>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=324>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=325>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=326>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=330>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=331>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=332>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=333>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=333>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=334>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=334>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=335>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=335>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=336>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=336>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=336>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=336>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=337>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=337>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=337>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=337>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=337>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=337>|xbits=6>|reg2=0>|helpers=0000> 
