All bits have been measured 7000 times with the outcome:
   ( 222 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=95>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=95>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=95>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 42 )	* |t=97>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 40 )	* |t=97>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 31 )	* |t=97>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 36 )	* |t=97>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 50 )	* |t=97>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 47 )	* |t=97>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=98>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=98>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=98>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=98>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=99>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=99>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=99>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=100>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=101>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=102>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=102>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=102>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=106>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=106>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=106>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=108>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=108>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=108>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=108>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=110>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=110>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=110>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=110>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=110>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=110>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=111>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=112>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=112>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=112>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=113>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=113>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=113>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 6 )	* |t=113>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=113>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=113>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=114>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=114>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=114>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=114>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=114>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=116>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=116>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=118>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=124>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=124>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=124>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=124>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=126>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=126>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=128>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=128>|xbits=2>|reg2=0>|helpers=0000> 
