All bits have been measured 1000 times with the outcome:
   ( 24 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=161>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=161>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=161>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=161>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=161>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=161>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=162>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=162>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=163>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=163>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=173>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=173>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=173>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=174>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=174>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=175>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=175>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=177>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=177>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=177>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=179>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=179>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=179>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 6 )	* |t=179>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=181>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=181>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=195>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=197>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=197>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=202>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=203>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=203>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=203>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=203>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=205>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=205>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=205>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=205>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=205>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 5 )	* |t=205>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 4 )	* |t=207>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=207>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=208>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=209>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=209>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=210>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=210>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=210>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=210>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 3 )	* |t=210>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=210>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=211>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=211>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=211>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=211>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=212>|xbits=2>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=212>|xbits=4>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=213>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=213>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=213>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=214>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=218>|xbits=3>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=218>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=220>|xbits=1>|reg2=0>|helpers=0000>|c=1> 
 + ( 2 )	* |t=220>|xbits=5>|reg2=0>|helpers=0000>|c=1> 
 + ( 1 )	* |t=220>|xbits=6>|reg2=0>|helpers=0000>|c=1> 
