All bits have been measured 7000 times with the outcome:
   ( 202 )	* |t=0>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=339>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=339>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=339>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=339>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 8 )	* |t=340>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=340>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=340>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 7 )	* |t=340>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 12 )	* |t=340>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=340>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 123 )	* |t=341>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 129 )	* |t=341>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 135 )	* |t=341>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 142 )	* |t=341>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 127 )	* |t=341>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 116 )	* |t=341>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 32 )	* |t=342>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=342>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 40 )	* |t=342>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 33 )	* |t=342>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 41 )	* |t=342>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 27 )	* |t=342>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=343>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 9 )	* |t=343>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=343>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=343>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=343>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 5 )	* |t=343>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=344>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=344>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=344>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=344>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 3 )	* |t=344>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 4 )	* |t=344>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=345>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=345>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=345>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=345>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=346>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=346>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=346>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=347>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=347>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=348>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=348>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=348>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=349>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=349>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=350>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 2 )	* |t=350>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=351>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=353>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=356>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=357>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=359>|xbits=3>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=359>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=360>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=361>|xbits=5>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=364>|xbits=1>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=365>|xbits=2>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=367>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=368>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=373>|xbits=6>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=376>|xbits=4>|reg2=0>|helpers=0000> 
 + ( 1 )	* |t=376>|xbits=6>|reg2=0>|helpers=0000> 
